date,region,lat,lon,product,price,rate,sigma,rho
2018-02-28,South Kivu,28.8428,-2.49077,beans,2250.0000000000000000,,,
2018-03-31,South Kivu,28.8428,-2.49077,beans,2245.0000000000000000,-0.002224695,,
2018-04-30,South Kivu,28.8428,-2.49077,beans,1235.0000000000000000,-0.597634551,,
2018-05-31,South Kivu,28.8428,-2.49077,beans,1602.0000000000000000,0.260181879,,
2018-06-30,South Kivu,28.8428,-2.49077,beans,1532.0000000000000000,-0.044678777,0.360522952,-0.75754374
2018-07-31,South Kivu,28.8428,-2.49077,beans,1462.0000000000000000,-0.04676871,0.357331002,-0.569721206
2018-08-31,South Kivu,28.8428,-2.49077,beans,1949.0000000000000000,0.287511059,0.184842948,-0.115166337
2018-09-30,South Kivu,28.8428,-2.49077,beans,3509.0000000000000000,0.588014676,0.304911298,0.002608109
2018-10-31,South Kivu,28.8428,-2.49077,beans,1754.0000000000000000,-0.693432203,0.549812452,-0.135134283
2018-11-30,South Kivu,28.8428,-2.49077,beans,1949.0000000000000000,0.105417527,0.547637134,0.021103346
2018-12-31,South Kivu,28.8428,-2.49077,beans,2046.5000000000000000,0.048814596,0.528995741,0.070873178
2019-01-31,South Kivu,28.8428,-2.49077,beans,2144.0000000000000000,0.046542226,0.381152716,0.300808797
2019-02-28,South Kivu,28.8428,-2.49077,beans,1754.0000000000000000,-0.200774349,0.13659214,0.470382825
2019-03-31,South Kivu,28.8428,-2.49077,beans,1364.5000000000000000,-0.251110833,0.159308836,-0.753334022
2019-04-30,South Kivu,28.8428,-2.49077,beans,975.0000000000000000,-0.336105869,0.1643814,0.150392931
2019-05-31,South Kivu,28.8428,-2.49077,beans,1100.0000000000000000,0.120627988,0.199617878,0.71004332
2019-06-30,South Kivu,28.8428,-2.49077,beans,1213.5135135100000000,0.098209702,0.235438802,-0.140802655
2019-07-31,South Kivu,28.8428,-2.49077,beans,1243.2432432400000000,0.024203602,0.212590352,0.15949634
2019-08-31,South Kivu,28.8428,-2.49077,beans,1224.3243243200000000,-0.015334364,0.063389281,0.204984242
2019-09-30,South Kivu,28.8428,-2.49077,beans,1243.2432432400000000,0.015334364,0.048149043,-0.418002731
2019-10-31,South Kivu,28.8428,-2.49077,beans,1243.2432432400000000,0,0.017413081,0.34994266
2019-11-30,South Kivu,28.8428,-2.49077,beans,1243.2432432400000000,0,0.012520456,0.569656822
2019-12-31,South Kivu,28.8428,-2.49077,beans,1216.9312169300000000,-0.02139119,0.01509475,0.522993825
2020-01-31,South Kivu,28.8428,-2.49077,beans,1215.0000000000000000,-0.001588217,0.010457727,0.443401205
2020-02-29,South Kivu,28.8428,-2.49077,beans,1216.9312169300000000,0.001588217,0.010773921,-0.368121863
2020-03-31,South Kivu,28.8428,-2.49077,beans,1300.0000000000000000,0.066031971,0.037967746,0.279836409
