date,inflation_maniema,inflation_skivu,sd_maniema,sd_skivu,maniema_skivu
2019-10-31,0.128420957,-0.044678777,0.12093534,0.360522952,0.028636046
2019-11-30,0.021610558,-0.04676871,0.105302172,0.357331002,-0.050921493
2019-12-31,0.004246291,0.287511059,0.099858704,0.184842948,-0.722108071
2020-01-31,0.014303988,0.588014676,0.05795584,0.304911298,-0.568940486
2020-02-29,0.238891908,-0.693432203,0.112976969,0.549812452,-0.893352941
2020-03-31,-0.025317808,0.105417527,0.121740898,0.547637134,-0.876843581
2020-04-30,0,0.048814596,0.122383051,0.528995741,-0.837678863
2020-05-31,0,0.046542226,0.124240172,0.381152716,-0.999691027
2020-06-30,0.018149319,-0.200774349,0.017865631,0.13659214,-0.862304614
2020-07-31,-0.014493007,-0.251110833,0.013367908,0.159308836,0.050294936
2020-08-31,0.021661497,-0.336105869,0.016816833,0.1643814,-0.31256714
2020-09-02,-0.043690689,0.120627988,0.030730826,0.199617878,-0.848805161
2020-09-09,0.014776678,0.098209702,0.029934803,0.235438802,-0.447560047
2020-09-16,-0.030040133,0.024203602,0.032409727,0.212590352,-0.614146455
2020-09-23,0.030040133,-0.015334364,0.035228022,0.063389281,-0.501676876
2020-10-07,0.070775464,0.015334364,0.041643501,0.048149043,-0.211028423
2020-10-14,0,0,0.043056915,0.017413081,-0.23593721
2020-10-21,-0.013760024,0,0.037444385,0.012520456,0.444128788
2020-10-28,-0.013952007,-0.02139119,0.040536191,0.01509475,0.789340505
2020-11-04,-0.119509939,-0.001588217,0.055521903,0.010457727,-0.205241922
2020-11-11,0,0.001588217,0.055521903,0.010773921,-0.16664506
2020-11-18,0.061669827,0.066031971,0.075259384,0.037967746,0.625463395
2020-11-25,-0.263174203,0,0.143275849,0.033041442,0.673229665
2020-12-02,0.201504376,0.379489622,0.194651691,0.181106158,0.761560418
2020-12-09,-1.711716762,0.336472237,0.87771456,0.190357184,-0.320738332
2020-12-16,0.074107972,-0.116843627,0.880046208,0.245725259,-0.390934385
2020-12-23,0,0.181147159,0.905625255,0.224714,-0.373451716
2020-12-30,0,-0.248280593,0.868912275,0.268023538,-0.747383921
2021-01-06,0,0,0.037053986,0.182252654,-0.259161702
2021-01-13,0.356674944,0,0.178337472,0.176381047,0.063435986
2021-01-20,0.405465108,0,0.220910694,0.124140296,0.574998609
2021-01-27,0.287682072,0.0179136,0.181519807,0.0089568,0.092649361
2021-02-03,0.223143551,0,0.079713207,0.0089568,-0.255577445
2021-02-10,0.182321557,0,0.097399321,0.0089568,0.089179269
2021-02-17,0.15415068,0,0.057963165,0.0089568,0.872480625
2021-02-24,0.133531393,0.034892332,0.038790059,0.017446166,-0.683257579
2021-03-03,0.108181533,0,0.031426839,0.017446166,-0.23366223
