market,corrs,vols,mids,dates
Maniema_NKivu,-0.061115717,0.092515243,1,6/30/2020
Maniema_NKivu,-0.04642498,0.08944605,1,7/31/2020
Maniema_NKivu,-0.052037921,0.086396403,1,8/31/2020
Maniema_NKivu,0.056317665,0.077916796,1,9/2/2020
Maniema_NKivu,0.058430212,0.071555296,1,9/9/2020
Maniema_NKivu,0.062125715,0.073043043,1,9/16/2020
Maniema_NKivu,0.05515012,0.073027882,1,9/23/2020
Maniema_NKivu,0.046911894,0.074523746,1,10/7/2020
Maniema_NKivu,0.15897494,0.030814455,1,10/14/2020
Maniema_NKivu,0.408445934,0.030002142,1,10/21/2020
Maniema_NKivu,0.462119245,0.030457226,1,10/28/2020
Maniema_NKivu,0.322152065,0.046790244,1,11/4/2020
Maniema_NKivu,0.301568247,0.046204711,1,11/11/2020
Maniema_NKivu,0.270483146,0.050307944,1,11/18/2020
Maniema_NKivu,0.06645213,0.089860746,1,11/25/2020
Maniema_NKivu,0.215760814,0.110802802,1,12/2/2020
Maniema_NKivu,-0.974239005,0.504404425,1,12/9/2020
Maniema_NKivu,-0.973773144,0.507523999,1,12/16/2020
Maniema_NKivu,-0.973798479,0.50668062,1,12/23/2020
Maniema_NKivu,-0.975884223,0.504374709,1,12/30/2020
Maniema_NKivu,-0.975884223,0.504374709,1,1/6/2021
Maniema_NKivu,-0.957287583,0.524328035,1,1/13/2021
Maniema_NKivu,-0.940416515,0.545438702,1,1/20/2021
Maniema_NKivu,-0.942573077,0.555527836,1,1/27/2021
Maniema_NKivu,-0.851315275,0.561023959,1,2/3/2021
Maniema_NKivu,-0.788633972,0.563897483,1,2/10/2021
Maniema_NKivu,-0.75264913,0.560417307,1,2/17/2021
Maniema_NKivu,-0.600145048,0.55869559,1,2/24/2021
Maniema_NKivu,-0.112633897,0.137284481,1,3/3/2021
Maniema_NKivu,-0.117347573,0.143066152,1,3/10/2021
Maniema_NKivu,-0.225780756,0.14889761,1,3/17/2021
Maniema_NKivu,-0.211258868,0.147717889,1,3/24/2021
Maniema_NKivu,-0.141420475,0.147717889,1,3/31/2021
Maniema_NKivu,-0.194443839,0.138145324,1,4/7/2021
Maniema_NKivu,-0.225326909,0.108783573,1,4/14/2021
Maniema_NKivu,-0.345963947,0.091809547,1,4/21/2021
Maniema_NKivu,-0.222268495,0.078630423,1,4/28/2021
Maniema_NKivu,0.018112611,0.066018043,1,5/5/2021
Maniema_NKivu,0.408642615,0.059599853,1,5/12/2021
Maniema_NKivu,-0.14865033,0.051198402,1,5/19/2021
Maniema_NKivu,-0.23203265,0.040826898,1,5/26/2021
Maniema_NKivu,-0.230845337,0.046930821,1,6/2/2021
Maniema_NKivu,-0.402690264,0.053909753,1,6/9/2021
Maniema_NKivu,-0.43357805,0.057600926,1,6/16/2021
Maniema_NKivu,-0.471614291,0.060973775,1,6/23/2021
Maniema_NKivu,-0.389111924,0.065834999,1,6/30/2021
Maniema_NKivu,-0.490977273,0.06598247,1,7/7/2021
Maniema_NKivu,-0.481080584,0.065896418,1,7/14/2021
Maniema_NKivu,-0.480911412,0.065879344,1,7/21/2021
Maniema_NKivu,-0.456624584,0.062983075,1,7/28/2021
Maniema_NKivu,-0.336367962,0.059838607,1,8/4/2021
Maniema_NKivu,-0.031814209,0.059846843,1,8/11/2021
Maniema_NKivu,-0.023839358,0.060625691,1,8/18/2021
Maniema_NKivu,-0.00706332,0.056063089,1,8/25/2021
Maniema_NKivu,0.532616488,0.045791594,1,9/1/2021
Maniema_NKivu,0.101255914,0.044249876,1,9/8/2021
Maniema_NKivu,0.159497534,0.038758525,1,9/15/2021
Maniema_NKivu,0.123563487,0.031796502,1,9/22/2021
Maniema_NKivu,0.150682835,0.036870783,1,9/29/2021
Maniema_NKivu,0.126041457,0.037694331,1,10/6/2021
Maniema_NKivu,0.134211288,0.037436488,1,10/13/2021
Maniema_NKivu,0.134939385,0.038746996,1,10/20/2021
Maniema_NKivu,-0.062588257,0.063819227,1,10/27/2021
Maniema_NKivu,-0.19681546,0.0642821,1,11/3/2021
Maniema_NKivu,-0.209174787,0.063725398,1,11/10/2021
Maniema_NKivu,-0.188191074,0.064377566,1,11/17/2021
Maniema_NKivu,-0.183056829,0.064202443,1,11/24/2021
Maniema_NKivu,0.150158511,0.064324631,1,12/15/2021
Maniema_NKivu,0.179483637,0.061177374,1,12/22/2021
Maniema_NKivu,-0.057569259,0.062557717,1,12/29/2021
Maniema_NKivu,-0.057377825,0.062766434,1,1/5/2022
Maniema_NKivu,-0.048276211,0.074599919,1,1/12/2022
Maniema_NKivu,-0.051042277,0.070557225,1,1/19/2022
Maniema_NKivu,-0.041400969,0.086988337,1,1/26/2022
Maniema_NKivu,-0.041472053,0.086839236,1,2/2/2022
Maniema_NKivu,-0.036305802,0.099196305,1,2/9/2022
Maniema_NKivu,-0.035303649,0.102012158,1,2/16/2022
Maniema_NKivu,-0.030852103,0.11673115,1,2/23/2022
Maniema_NKivu,-0.030847195,0.116749722,1,3/2/2022
Maniema_NKivu,-0.153590291,0.116190436,1,3/9/2022
Maniema_NKivu,-0.155106323,0.116084734,1,3/16/2022
Maniema_NKivu,-0.027748367,0.082675286,1,4/20/2022
Maniema_NKivu,0.001540158,0.082873017,1,4/27/2022
Maniema_NKivu,-0.15364,0.07679277,1,5/4/2022
Maniema_NKivu,-0.224814506,0.075636222,1,5/11/2022
Maniema_NKivu,-0.428674652,0.050552854,1,5/18/2022
Maniema_NKivu,-0.428633279,0.050547986,1,5/25/2022
Maniema_NKivu,-0.393807662,0.052380969,1,6/1/2022
Maniema_NKivu,-0.391989568,0.052303433,1,6/8/2022
Maniema_NKivu,-0.407413977,0.052713822,1,6/15/2022
Maniema_NKivu,-0.34996641,0.052286722,1,6/22/2022
Maniema_NKivu,-0.378221572,0.050084983,1,6/29/2022
Maniema_NKivu,-0.529603522,0.043032647,1,7/6/2022
